epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2064.57,0.82355,1.13672,1.28717,0.8597,0.76649,0.8691,0.66908,0.82003,0.87327,1.20967,0.0005941,0.0005941,0.0005941
43,2110.68,0.82382,1.14101,1.29131,0.86455,0.73777,0.8623,0.67109,0.80645,0.90181,1.19718,0.0005842,0.0005842,0.0005842
44,2156.83,0.81779,1.13552,1.28468,0.78861,0.80615,0.852,0.66145,0.80989,0.91169,1.22689,0.0005743,0.0005743,0.0005743
45,2202.79,0.79845,1.10367,1.26476,0.82974,0.73249,0.84416,0.65661,0.8138,0.88547,1.20906,0.0005644,0.0005644,0.0005644
46,2254.83,0.81968,1.10041,1.29891,0.84634,0.73952,0.87153,0.67503,0.80221,0.82255,1.19301,0.0005545,0.0005545,0.0005545
47,2306.18,0.79095,1.06529,1.26702,0.80874,0.82141,0.89025,0.69423,0.77456,0.77523,1.1651,0.0005446,0.0005446,0.0005446
48,2357.47,0.79251,1.09572,1.27688,0.79699,0.81744,0.88363,0.68259,0.79649,0.81835,1.1723,0.0005347,0.0005347,0.0005347
49,2409.4,0.78854,1.07123,1.2671,0.78431,0.80344,0.87231,0.67969,0.80735,0.84953,1.20313,0.0005248,0.0005248,0.0005248
50,2459.77,0.79522,1.06213,1.27263,0.80452,0.82018,0.88714,0.70366,0.73858,0.79356,1.13133,0.0005149,0.0005149,0.0005149
51,2509.73,0.79082,1.05152,1.27561,0.83609,0.81242,0.8841,0.67956,0.80882,0.81725,1.20483,0.000505,0.000505,0.000505
52,2561.18,0.78881,1.04873,1.26888,0.87368,0.77206,0.88092,0.69183,0.76904,0.79105,1.18933,0.0004951,0.0004951,0.0004951
53,2613.3,0.80122,1.05816,1.29602,0.8473,0.76372,0.86648,0.66984,0.80879,0.8425,1.19446,0.0004852,0.0004852,0.0004852
54,2666.78,0.78888,1.00862,1.27156,0.83755,0.80525,0.87789,0.68704,0.79299,0.78025,1.15826,0.0004753,0.0004753,0.0004753
55,2719.87,0.77433,0.97866,1.2562,0.85383,0.77134,0.8767,0.69844,0.74293,0.755,1.15932,0.0004654,0.0004654,0.0004654
56,2771.45,0.77253,0.98635,1.2586,0.87489,0.76336,0.88271,0.69597,0.77793,0.806,1.16652,0.0004555,0.0004555,0.0004555
57,2822.6,0.7863,0.98516,1.25842,0.81148,0.80166,0.8762,0.68373,0.7549,0.85655,1.14817,0.0004456,0.0004456,0.0004456
58,2875.1,0.76273,1.00217,1.24572,0.85388,0.82546,0.89316,0.70869,0.7475,0.77365,1.16067,0.0004357,0.0004357,0.0004357
59,2926.98,0.74183,0.95817,1.22566,0.86421,0.76824,0.88193,0.6934,0.73155,0.83198,1.14601,0.0004258,0.0004258,0.0004258
60,2978.99,0.75496,0.99165,1.26,0.8648,0.78507,0.89438,0.70185,0.73371,0.76564,1.16766,0.0004159,0.0004159,0.0004159
61,3032.25,0.76394,0.95958,1.25331,0.83439,0.79361,0.86942,0.67606,0.78824,0.81455,1.19337,0.000406,0.000406,0.000406
62,3083.51,0.74754,0.92652,1.22849,0.85724,0.79045,0.87913,0.69813,0.73,0.74967,1.13684,0.0003961,0.0003961,0.0003961
63,3135.71,0.73357,0.93319,1.22268,0.8163,0.85505,0.8788,0.69171,0.73031,0.77813,1.13943,0.0003862,0.0003862,0.0003862
64,3185.55,0.74622,0.92524,1.23827,0.83275,0.79897,0.88286,0.70895,0.71277,0.77262,1.1212,0.0003763,0.0003763,0.0003763
65,3234.61,0.73557,0.89417,1.22606,0.88002,0.78529,0.86484,0.6858,0.74674,0.78497,1.15955,0.0003664,0.0003664,0.0003664
